Date,Open,Close,High,Low,Volume,Log_Returns,Log_Trading_Range,Log_Volume_Change,Previous_10_Day_Volatility,Previous_30_Day_Volatility,Next_10_Days_Volatility,SMA14,EMA14,RSI14,MACD_h,MACD_sl,GARCH_rolling_predictions,GARCH_forward_looking_predictions
2012-07-25,6.45,6.54,6.63,6.44,5844945.0,0.0076746347531087,0.029076264081508763,0.6861327652577138,0.017224732411898865,0.015539805636676323,0.008627507307733935,0.0,6.54,0.0,0.0,0.0,0,0.0
2012-07-26,6.55,6.49,6.65,6.47,4164244.0,-0.0076746347531087,0.027440746154953732,-0.3390424385894768,0.01708701677142738,0.015150556545560363,0.00945187833333771,0.0,6.533333333333333,0.0,0.0,0.0,0,0.0
2012-07-27,6.52,6.58,6.61,6.51,4211250.0,0.013772214621227352,0.015244197643117019,0.01122476920026827,0.016983681722758763,0.015326643966364175,0.011783873212620288,0.0,6.539555555555556,0.0,0.0,0.0,0,0.0
2012-07-30,6.62,6.58,6.72,6.57,5933305.0,0.0,0.02257432203853904,0.3428218775990022,0.012461648334529622,0.01533312833621558,0.01220538217557388,0.0,6.5449481481481495,0.0,0.0,0.0,0,0.0
2012-07-31,6.51,6.49,6.61,6.47,3283096.0,-0.013772214621227352,0.021407545350785817,-0.5917945136983338,0.013253626694006157,0.015293760117349816,0.01302319783211975,0.0,6.537621728395063,0.0,0.0,0.0,0,0.0
2012-08-01,6.5,6.56,6.61,6.47,2500351.0,0.010728072239998943,0.021407545350785817,-0.2723557576202964,0.013224502144489716,0.01549957637308823,0.011912134867456467,0.0,6.540605497942388,0.0,0.0,0.0,0,0.0
2012-08-02,6.53,6.59,6.61,6.52,2551749.0,0.004562745558418291,0.013709277925033403,0.020347884394475102,0.011308372801897853,0.01554345532049691,0.011974253008859183,0.0,6.54719143155007,0.0,0.0,0.0,0,0.0
2012-08-03,6.6,6.65,6.67,6.56,3736810.0,0.009063506153347056,0.016629256971534723,0.38145329987519894,0.010050375256454037,0.015701488992407794,0.012581110170455049,0.0,6.5608992406767275,0.0,0.0,0.0,0,0.0
2012-08-06,6.61,6.7,6.71,6.61,4459341.0,0.0074906717291576275,0.015015297119995497,0.17676869097850023,0.008745728155700237,0.01430427290677606,0.012585827939347422,0.0,6.579446008586498,0.0,0.0,0.0,0,0.0
2012-08-07,6.68,6.7,6.73,6.65,3761911.0,0.0,0.011958288988873633,-0.17007392429710144,0.008627507307733895,0.014279747618293318,0.012269818628029993,0.0,6.595519874108298,0.0,0.0,0.0,0,0.0
2012-08-08,6.71,6.63,6.71,6.62,3971649.0,-0.010502722199149384,0.013503581034673529,0.054254300728061366,0.009451878333337677,0.01435945890931439,0.014473512204816349,0.0,6.600117224227192,0.0,0.0,0.0,0,0.0
2012-08-09,6.66,6.81,6.88,6.62,10249642.0,0.026787315963649805,0.03852328199633526,0.9480614044470617,0.01178387321262026,0.015157095869211365,0.014243541496541948,0.0,6.628101594330234,0.0,0.0,0.0,0,0.0
2012-08-10,6.82,6.74,6.82,6.71,8140469.0,-0.0103321952372053,0.016260520871780315,-0.23039498308290796,0.012205382175573857,0.015177149295166684,0.012182573271529135,0.0,6.64302138175287,0.0,0.0,0.0,0,0.0
2012-08-13,6.73,6.66,6.8,6.63,4998757.0,-0.011940440371917882,0.025317807984289953,-0.4876585135342886,0.013023197832119726,0.01530371891634705,0.013288651955707175,6.622857142857143,6.645285197519154,54.79262388084026,0.0,0.0,0,0.0
2012-08-14,6.66,6.68,6.69,6.55,3713875.0,0.00299850299625648,0.021148824492976503,-0.2971134755989837,0.011912134867456441,0.015244698784279285,0.014403691303736423,6.632857142857143,6.649913837849933,56.37873413443731,0.0,0.0,0,0.0
2012-08-15,6.65,6.63,6.68,6.57,3213576.0,-0.007513183350783104,0.016604155052035052,-0.14469147015386064,0.011974253008859157,0.015288813764187826,0.014406245982037243,6.642857142857143,6.6472586594699425,51.512823600579836,0.0,0.0,0,0.0
2012-08-16,6.61,6.55,6.62,6.54,2333705.0,-0.01213975455061056,0.012158204479809642,-0.3199272023582864,0.012581110170455026,0.01477340437700357,0.01435540079524359,6.640714285714286,6.634290838207283,44.84388531641891,0.0,0.0,0,0.0
2012-08-17,6.55,6.61,6.63,6.49,2492837.0,0.0091186042164344,0.021342273481772533,0.06596428591438475,0.0125858279393474,0.014870601599082014,0.014157268866714449,6.642857142857143,6.631052059779646,50.06531685247912,0.0,0.0,0,0.0
2012-08-20,6.58,6.59,6.65,6.54,1957474.0,-0.003030305349179141,0.01667968919865559,-0.24176655278440506,0.012269818628029968,0.014844214181773834,0.014464574274802909,6.6499999999999995,6.625578451809027,48.41987325965302,0.0,0.0,0,0.0
2012-08-21,6.66,6.74,6.77,6.65,8203837.0,0.022506576409799806,0.017884232256420773,1.43294710510901,0.014473512204816326,0.013944116125321837,0.015059591367045993,6.662857142857143,6.640834658234491,59.23987801577069,0.0,0.0,0,0.0
2012-08-22,6.71,6.69,6.74,6.64,4142027.0,-0.007446050784078562,0.01494796143587318,-0.6834166901136562,0.014243541496541926,0.013973123230827623,0.012850833433144084,6.67,6.647390037136559,55.091368984950165,0.0,0.0,0,0.0
2012-08-23,6.66,6.79,6.83,6.66,7423648.0,0.014837067430467643,0.025205189030401032,0.5834852990245256,0.012182573271529109,0.014280603509628327,0.01274138393534586,6.68,6.666404698851685,60.97723771083414,0.0,0.0,0,0.0
2012-08-24,6.74,6.66,6.82,6.66,4119427.0,-0.019331457018306963,0.02373998730307303,-0.5889565045473901,0.013288651955707153,0.014000326180946498,0.014299108379435177,6.677142857142856,6.665550739004794,51.52330504471979,0.0,0.0,0,0.0
2012-08-27,6.62,6.52,6.63,6.47,3607800.0,-0.021245108613736186,0.024428695684961976,-0.1326159077278941,0.0144036913037364,0.012935369113993815,0.015746752212518124,6.6642857142857155,6.646143973804155,43.6708452334796,0.0,0.0,0,0.0
2012-08-28,6.5,6.54,6.59,6.5,1848394.0,0.0030627895305457287,0.013751171612824464,-0.6687810143333746,0.01440624598203722,0.012948698231583351,0.013442999519463206,6.657857142857142,6.631991443963601,44.961340743604076,0.0,0.0,0,0.0
2012-08-29,6.55,6.5,6.56,6.49,1951148.0,-0.006134988567515931,0.010728072239998943,0.054100763339878455,0.014355400795243568,0.012844358764305544,0.014579668101265068,6.635714285714286,6.614392584768455,42.84707709300539,0.0,0.0,0,0.0
2012-08-30,6.52,6.44,6.54,6.4,2705260.0,-0.009273636785328998,0.021639175103481012,0.32678010868087703,0.014157268866714427,0.012301458112245924,0.013842911563022182,6.614285714285714,6.5911402401326615,39.82211359003557,0.0,0.0,0,0.0
2012-08-31,6.45,6.52,6.54,6.45,1143311.0,0.0123458358222992,0.013857034661426182,-0.8612695871875626,0.014464574274802886,0.012156113499768764,0.01882403512128537,6.604285714285715,6.58165487478164,45.361030590232204,0.0,0.0,0,0.0
2012-09-03,6.51,6.6,6.62,6.51,2355980.0,0.012195273093818182,0.016755913728438987,0.723028337997702,0.01505959136704597,0.012118061890705486,0.018694320853172627,6.598571428571428,6.584100891477422,50.2885572034288,0.0,0.0,0,0.0
2012-09-04,6.63,6.58,6.63,6.55,1878241.0,-0.003034903695153801,0.01213975455061056,-0.22662107622770478,0.01285083343314406,0.012031417439321304,0.01997472338394084,6.595,6.583554105947099,49.09648765130436,0.0,0.0,0,0.0
2012-09-05,6.55,6.58,6.61,6.53,1671917.0,0.0,0.012176710575255267,-0.11636482827923444,0.012741383935345834,0.01195404744272904,0.019900992034800346,6.597142857142857,6.583080225154153,49.09648765130436,0.0,0.0,0,0.0
2012-09-06,6.62,6.74,6.8,6.62,9865468.0,0.024025179586989687,0.026827242233144144,1.7750697065133139,0.014299108379435155,0.012616362403957155,0.020391308039755578,6.606428571428572,6.604002861800266,58.27354183232819,0.0,0.0,0,0.0
2012-09-07,6.81,6.95,7.05,6.75,16220621.0,0.03068173465248525,0.04348511193973881,0.49724275522562067,0.0157467522125181,0.013538655053944772,0.02170293656800471,6.632142857142857,6.650135813560231,66.7471505762516,0.0,0.0,0,0.0
2012-09-10,6.98,7.08,7.22,6.89,19103766.0,0.01853224812892762,0.04678386787916766,0.16360215437049774,0.013442999519463174,0.01387128868725046,0.018914365479462892,6.656428571428571,6.707451038418867,70.71223032227913,0.048952660160710725,0.010199326157227665,0,0.0
