Actual_Value,Predicted_Value,Prediction_Error
0.048502331844603716,0.049592413,0.0010900811636093272
0.04745293144511847,0.051703855,0.004250923950198611
0.0472575644170436,0.037358392,0.009899172387042916
0.04615446380758229,0.032446124,0.013708340147971544
0.0460844639731235,0.037490766,0.008593697477657265
0.0400169724240087,0.041251544,0.0012345714853025935
0.04291550250069113,0.051858563,0.008943060475430774
0.03656583337522775,0.041265804,0.004699970945346056
0.03518422336300247,0.036525838,0.00134161471406586
0.034552035072444635,0.03547515,0.0009231146782648983
0.03461446288242004,0.034814414,0.00019995075450279787
0.034015774308018616,0.02673901,0.007276763720683983
0.031611675599462236,0.026883218,0.004728457162028993
0.032116404306915265,0.030865125,0.0012512789488105594
0.030598858720264865,0.030106952,0.0004919063063482769
0.030857036411599002,0.02475359,0.006103447228506885
0.012402593762004208,0.014942303,0.0025397095378996617
0.012340918209110997,0.019718954,0.007378036130512454
0.012450798078450504,0.008776118,0.0036746800309150843
0.01285735693261438,0.0045158044,0.008341552582238251
0.012830692906666788,0.0024776293,0.01035306356361905
0.013162982341883529,0.008906055,0.004256927100060332
0.013447626594775325,0.017084403,0.003636776368743771
0.016432239983837575,0.0141544705,0.0022777694581556027
0.017348416692940724,0.017066762,0.0002816548416299941
0.016818800605238753,0.01818582,0.0013670198252784434
0.019142242027628667,0.01656136,0.002580882860529668
0.019211734945334537,0.01570707,0.0035046649374142723
0.019437390220917814,0.016425902,0.003011488197006338
0.01896225866693233,0.013901002,0.005061256893157708
0.019184464869734245,0.013260809,0.00592365609639545
0.01916424003022568,0.015125469,0.004038770725604459
0.020675263427563293,0.014654067,0.0060211960825997425
0.015911225361208044,0.01923176,0.0033205355131825584
0.015040355459863458,0.015890636,0.0008502800901586671
0.01631770724747003,0.016092,0.000225706718299995
0.01439287971883886,0.013611886,0.0007809939998375676
0.014236595117454228,0.008463679,0.005772916235928235
0.016682655780252593,0.015026783,0.0016558731409279277
0.017070450652466537,0.016121358,0.0009490929730994711
0.01786456213216649,0.016306082,0.001558480345414743
0.018836739003614874,0.019377625,0.0005408856124120044
0.018941883168236293,0.020361634,0.0014197508030972111
0.02178942881713611,0.019260598,0.0025288304705451126
0.02176291313720973,0.02138158,0.00038133379770548953
0.020388014568967838,0.02136819,0.0009801760772037323
0.02182795206090983,0.028266948,0.006438995655564703
0.02208011299515356,0.025058694,0.0029785811886728873
0.020098486070834802,0.016178545,0.003919941460096048
0.01986147770428102,0.018964183,0.0008972951188031923
0.01970101195149302,0.024381561,0.004680549253298048
0.019088176900530853,0.025415538,0.006327360978340111
0.02424650662870413,0.024914732,0.0006682255741834037
0.022064699854030798,0.022282662,0.00021796201609115828
0.023585313725303824,0.026053252,0.0024679379733093428
0.023655040425335054,0.024865098,0.0012100578722609237
0.027333349716965917,0.027600482,0.00026713238924288424
0.027236909431051427,0.032246254,0.005009344953466242
0.027354561956668685,0.02706376,0.0002908010502107837
0.027524544426552534,0.024497172,0.0030273725626389983
0.02634732522127202,0.023448527,0.002898798361988572
0.0274841629378464,0.02529876,0.0021854035966064715
0.021258754043859355,0.027727807,0.006469052896815427
0.021291545248062968,0.030020935,0.008729390212862134
0.02123395597015955,0.027507687,0.0062737310173597155
0.024068667839030916,0.024677055,0.0006083871175244504
0.019799752306967785,0.02127665,0.0014768967806996804
0.019717639023088502,0.01838469,0.0013329495579233637
0.019026838142614345,0.02141369,0.0023868513366174897
0.02029701082840232,0.023148622,0.002851611535403451
0.020856832727891586,0.024749247,0.003892414629357674
0.019220722357833904,0.026612628,0.007391905893480259
0.014726643073994882,0.021467721,0.0067410780157258435
0.014424321609746226,0.01834941,0.003925087493647329
0.019144353644471056,0.02079098,0.0016466256216956313
0.02048119862407816,0.022984657,0.0025034588125311084
0.026092750849722613,0.028552312,0.0024595615541946995
0.026769673405965432,0.031196792,0.004427118272701636
0.026869171280412676,0.028930161,0.002060989867897031
0.026453792010012342,0.025723306,0.0007304855478436484
0.02678734028862414,0.02700081,0.00021346879972520064
0.026869589455125093,0.025695978,0.0011736117225859162
0.029440236796232633,0.034159463,0.004719226102737017
0.03243934601999137,0.043651994,0.011212648297778634
0.03056981019471353,0.040481098,0.009911287801521364
0.030632222814309527,0.03949926,0.008867037670862745
0.02686522867965891,0.033753607,0.006888378742454508
0.038923281954033224,0.031575557,0.007347725109560339
0.03893737011835591,0.028775297,0.01016207301304356
