公司代码_CompanyCode,证券代码_R_SecuCode,上市公司代码_Comcd,股票代码_Stkcd,最新股票名称_Lstknm,交易时股票代码_Stkcdotrd,上市状态_Listedstate,ISIN编码_ISIN,日期_Date,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr,成交量_Trdvol
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-02,10.82,11.56,10.82,11.03,4293423.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-03,10.94,11.24,10.8,11.2,4063716.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-04,11.1,11.14,10.51,10.6,4422424.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-05,10.6,10.89,10.55,10.64,3452653.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-06,10.52,10.83,10.2,10.62,3966263.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-09,10.68,11.2,10.63,11.15,4647282.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-10,11.15,11.99,11.0,11.64,6982002.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-11,11.61,11.61,10.87,11.16,8424207.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-12,11.18,11.59,11.13,11.35,6274013.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-13,11.4,11.48,11.25,11.41,4473638.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-16,11.4,11.44,11.15,11.25,4809444.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-17,11.25,11.33,11.15,11.33,3584740.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-18,11.37,11.6,11.25,11.27,4734232.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-19,11.24,11.3,10.75,10.82,5477623.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-20,10.86,11.3,10.78,11.21,5464355.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-23,11.27,11.43,11.11,11.37,3944335.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-24,11.34,11.7,11.3,11.55,5344520.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-25,11.67,11.75,11.46,11.58,3986628.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-26,11.49,11.64,11.32,11.43,3190275.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-27,11.46,11.46,11.22,11.28,2467556.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-30,11.25,11.29,11.03,11.07,2811764.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-07-31,11.08,11.18,10.95,11.17,2681967.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-01,11.15,11.22,10.66,10.67,3919466.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-02,10.61,10.61,10.0,10.15,4744363.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-03,10.19,10.35,9.95,10.0,3410192.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-06,10.0,10.16,9.75,9.89,3361189.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-07,10.0,10.16,9.91,10.15,3892900.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-08,10.14,10.16,9.85,9.94,4279904.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-09,9.98,10.35,9.81,10.27,5869272.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-10,10.27,10.35,10.1,10.29,4529918.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-13,10.15,10.39,10.02,10.35,5267476.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-14,10.39,10.43,10.05,10.16,4768169.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-15,10.18,10.18,9.82,9.9,4599674.0
79371,90_300081,C300081,300081,恒信东方,300081,Norm,CNE100000PB1,2018-08-16,9.82,10.04,9.65,9.91,3437239.0
