公司代码_CompanyCode,证券代码_R_SecuCode,上市公司代码_Comcd,股票代码_Stkcd,最新股票名称_Lstknm,交易时股票代码_Stkcdotrd,上市状态_Listedstate,ISIN编码_ISIN,日期_Date,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr,成交量_Trdvol
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-08,5.6,5.61,5.5,5.58,244080308.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-11,5.66,5.66,5.46,5.51,150425309.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-12,5.5,5.57,5.47,5.56,98200758.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-13,5.48,5.51,5.43,5.44,104567791.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-14,5.46,5.54,5.43,5.5,76407670.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-15,5.48,5.49,5.44,5.48,48826295.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-18,5.47,5.47,5.44,5.46,50870943.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-19,5.45,5.49,5.44,5.49,57925864.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-20,5.48,5.48,5.33,5.34,81217277.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-21,5.35,5.38,5.32,5.35,55066295.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-22,5.32,5.32,5.16,5.24,57443879.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-25,5.19,5.25,5.16,5.2,22097949.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-26,5.2,5.24,5.05,5.09,33153411.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-27,5.09,5.24,5.05,5.19,47593579.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-28,5.21,5.26,5.17,5.21,65444015.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-01-29,5.21,5.23,5.13,5.16,51512735.0
75226,83_601117,C601117,601117,中国化学,601117,Norm,CNE100000KC0,2010-02-01,5.16,5.18,5.1,5.17,33732156.0
